environment,intersection_id,city,city_label,topology,lane_profile,risk_level,day_index,time_window,arrival_demand,exit_lane_capacity,queue_length,overflow_count,overflow_duration_seconds,speed_kmh,throughput,stop_frequency,average_delay_seconds,safety_violation_rate,phase_switch_timing_error_seconds
sumo,city1_i05,city_1,City 1,4way,severe_imbalance,high,7,midday,900.0,2956.0,1480.9824,859.0,859.0,8.2542,739.0,1.0725,241.3234,0.24,0.5024
sumo,city1_i05,city_1,City 1,4way,severe_imbalance,high,7,pm_peak,900.0,2956.0,1480.9824,859.0,859.0,8.2542,739.0,1.0725,241.3234,0.24,0.4696
sumo,city1_i05,city_1,City 1,4way,severe_imbalance,high,7,evening,900.0,2956.0,1480.9824,859.0,859.0,8.2542,739.0,1.0725,241.3234,0.24,0.4798
sumo,city1_i06,city_1,City 1,4way,balanced,medium,1,am_peak,900.0,3496.0,1222.7758,857.0,857.0,10.3304,874.0,0.6803,153.0744,0.24,0.5068
sumo,city1_i06,city_1,City 1,4way,balanced,medium,1,midday,900.0,3496.0,1222.7758,857.0,857.0,10.3304,874.0,0.6803,153.0744,0.24,0.5599
sumo,city1_i06,city_1,City 1,4way,balanced,medium,1,pm_peak,900.0,3496.0,1222.7758,857.0,857.0,10.3304,874.0,0.6803,153.0744,0.24,0.5673
sumo,city1_i06,city_1,City 1,4way,balanced,medium,1,evening,900.0,3496.0,1222.7758,857.0,857.0,10.3304,874.0,0.6803,153.0744,0.24,0.533
sumo,city1_i06,city_1,City 1,4way,balanced,medium,2,am_peak,900.0,3496.0,1222.7758,857.0,857.0,10.3304,874.0,0.6803,153.0744,0.24,0.5925
sumo,city1_i06,city_1,City 1,4way,balanced,medium,2,midday,900.0,3496.0,1222.7758,857.0,857.0,10.3304,874.0,0.6803,153.0744,0.24,0.516
sumo,city1_i06,city_1,City 1,4way,balanced,medium,2,pm_peak,900.0,3496.0,1222.7758,857.0,857.0,10.3304,874.0,0.6803,153.0744,0.24,0.5902
sumo,city1_i06,city_1,City 1,4way,balanced,medium,2,evening,900.0,3496.0,1222.7758,857.0,857.0,10.3304,874.0,0.6803,153.0744,0.24,0.5649
sumo,city1_i06,city_1,City 1,4way,balanced,medium,3,am_peak,900.0,3496.0,1222.7758,857.0,857.0,10.3304,874.0,0.6803,153.0744,0.24,0.5504
